49, 0, 40.316050, -87.699738, 26.44, 44.66, 1, 21.59, 1500, 1500, 1520, 158.75, 13161.25, 0.00, 13158.75
51, 0, 40.316051, -87.699738, 27.73, 44.66, 1, 21.59, 1500, 1500, 1520, 158.75, 13161.25, 0.00, 13157.50
6, 1, 0.000000, 0.000000, 0.00, 0.00, 1, 0.00, 1500, 1500, 1500, 221.25, 13126.25, 0.00, 13126.25
7, 0, 0.000000, 0.000000, 259.19, 0.00, 1, 0.00, 1475, 1525, 500, 2727.50, 12840.00, 0.00, 12852.50
9, 0, 0.000000, 0.000000, 257.37, 0.00, 1, 0.00, 1500, 150031.496674, -96.322029, 237.80, 0.00, 1, 0.00, 1500, 1500, 1500, 206.25, 14413.75, 7.50, 14421.25
51, 0, 41.496674, -86.322029, 240.84, 0.00, 1, 0.00, 1500, 1500, 1500, 155.00, 14423.75, 6.25, 14425.00
52, 0, 41.496674, -86.322029, 239.61, 0.00, 1, 0.00, 1500, 1500, 1500, 152.50, 14422.50, 7.50, 14422.50
53, 0, 41.496675, -86.322037, 240.75, 0.00, 1, 0.00, 1500, 1500, 1500, 145.00, 14426.25, 6.25, 14423.75
54, 0, 41.496675, -86.322037, 238.04, 0.00, 1, 0.00, 1500, 1500, 1500, 163.75, 14428.75, 7.50, 14425.00
55, 0, 41.496677, -86.322029, 239.15, 0.00, 1, 0.00, 1500, 1500, 1500, 163.75, 14428.75, 7.50, 14426.25
56, 0, 41.496677, -86.322029, 238.86, 0.00, 1, 0.00, 1500, 1500, 1500, 153.75, 14430.00, 6.25, 14425.00
57, 0, 41.496677, -86.322029, 237.81, 0.00, 1, 0.00, 1500, 1500, 1500, 216.25, 14416.25, 7.50, 14418.75
58, 0, 41.496677, -86.322029, 238.43, 0.00, 1, 0.00, 1500, 1500, 1500, 165.00, 14428.75, 7.50, 14427.50
59, 0, 41.496677, -86.322029, 240.54, 0.00, 1, 0.00, 1500, 1500, 1500, 161.25, 14427.50, 7.50, 14425.00
60, 0, 41.496679, -86.322029, 239.27, 0.00, 1, 0.00, 1500, 1500, 1500, 143.75, 14428.75, 7.50, 14426.25
61, 0, 41.496679, -86.322029, 238.09, 0.00, 1, 0.00, 1500, 1500, 1500, 145.00, 14427.50, 8.75, 14427.50
63, 0, 41.496681, -86.322029, 238.94, 0.00, 1, 0.00, 1500, 1500, 1500, 148.75, 14426.25, 6.25, 14423.75
64, 0, 41.496681, -86.322029, 238.08, 0.00, 1, 0.00, 1500, 1500, 1500, 157.50, 14430.00, 7.50, 14426.25
65, 0, 41.496683, -86.322037, 241.71, 0.00, 1, 0.00, 1500, 1500, 1500, 130.00, 14431.25, 6.25, 14428.75
66, 0, 41.496683, -86.322037, 238.19, 0.00, 1, 0.00, 1500, 1500, 1500, 151.25, 14430.00, 5.00, 14423.75
67, 0, 41.496683, -86.322037, 238.60, 0.00, 1, 0.00, 1500, 1500, 1500, 147.50, 14431.25, 7.50, 14427.50
68, 0, 41.496685, -86.322037, 238.37, 0.00, 1, 0.00, 1500, 1500, 1500, 155.00, 14426.25, 6.25, 14425.00
